encoder2.conv,replace_efc_part30,encoder1.conv3x3_bn.conv,replace_efc_part11,replace_efc_part17,replace_efc_part15,replace_efc_part5,replace_efc_part20,replace_efc_part10,replace_efc_part3,replace_efc_part31,replace_efc_part7,replace_efc_part9,replace_efc_part14,replace_efc_part25,replace_efc_part12,replace_efc_part2,replace_efc_part21,replace_efc_part13,replace_efc_part8,replace_efc_part29,replace_efc_part22,replace_efc_part23,replace_efc_part19,replace_efc_part24,replace_efc_part6,replace_efc_part26,replace_efc_part1,replace_efc_part0,replace_efc_part28,replace_efc_part18,replace_efc_part4,replace_efc_part16,replace_efc_part27,encoder_conv.conv1x1_bn.conv,encoder1.conv1x9_bn.conv,se.fc.0,sa.spatial.conv,encoder1.conv9x1_bn.conv,se.fc.2,Target_Saving,Actual_Saving,Total_Omega,NMSE_dB,NMSE_dB_ILP
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,8,90.1,90.23375012631534,0.003656781529687475,-13.010204100644318,-13.007541989024832
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,16,16,8,90.2,90.2341314556676,0.003657842080502915,-13.010204100644318,-13.007541989024832
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,8,8,90.3,90.4292052524305,0.003960671626251733,-13.009910998276649,-13.0072168393016
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,16,16,8,90.4,90.4293720840221,0.003961565784255215,-13.009910998276649,-13.0072168393016
16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,16,16,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,8,8,90.5,90.624445880785,0.004275532538952637,-13.009389338327786,-13.00669283894493
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,16,16,8,90.6,90.62461271237662,0.004269855416071958,-13.009389338327786,-13.00669283894493
16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,8,8,90.7,90.8196865091395,0.004583822170769381,-13.009192399283078,-13.00616126963205
16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,16,8,8,90.8,90.82006783849177,0.004584882721584821,-13.009192399283078,-13.00616126963205
16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,8,91.0,91.01471263973337,0.0048990832446475785,-13.008114672439033,-13.006018309745443
16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,8,8,90.9,91.01492713749401,0.004899008380072349,-13.008114672439033,-13.006018309745443
16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,8,8,91.1,91.21016776584852,0.005216770880714413,-13.008114672439033,-13.005408721369866
16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,16,16,8,91.2,91.21033459744014,0.005215330004765988,-13.008114672439033,-13.005408721369866
16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,16,8,8,91.3,91.40578972355529,0.005533017640832822,-13.007537172573333,-13.004868450319002
16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,16,8,8,91.4,91.40578972355529,0.005533017640832822,-13.007537172573333,-13.004868450319002
16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,16,8,8,91.5,91.6010303519098,0.00586698994477008,-13.00720848799842,-13.004587535932014
16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,16,8,8,91.6,91.6010303519098,0.005861303496043641,-13.00720848799842,-13.004587535932014
16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,8,91.7,91.79567515315141,0.006194048856353501,-13.00571837050899,-13.003809509205208
