Target_Saving,Budget,Avg_Saving,SNR_Context,Num_Policies,NMSE_dB,Rate_10,Outage_10dB_95,Outage_10dB_98,Outage_10dB_99,NMSE_dB_Low,Rate_10_Low,NMSE_dB_Mid,Rate_10_Mid,NMSE_dB_High,Rate_10_High,Rate_20,Outage_20dB_95,Outage_20dB_98,Outage_20dB_99,Rate_20_Low,Rate_20_Mid,Rate_20_High,Rate_30,Outage_30dB_95,Outage_30dB_98,Outage_30dB_99,Rate_30_Low,Rate_30_Mid,Rate_30_High
93.25,0.1323242187499981,93.3869923838767,10,2,-12.492127505418466,3.857768180966377,0.0067,0.4099,0.8922,-11.991526361639144,4.587212154589231,-12.537847735378072,3.8800251685221467,-13.006866133466726,3.1056160187306237,,,,,,,,,,,,,,
93.25,0.1323242187499981,93.3869923838767,20,2,-12.492127505418466,,,,,-11.991526361639144,,-12.537847735378072,,-13.006866133466726,,7.071707621002197,0.0001,0.06965,0.5553,7.850602163979588,7.106514503373739,6.257517779431566,,,,,,,
93.25,0.1323242187499981,93.3869923838767,30,2,-12.492127505418466,,,,,-11.991526361639144,,-12.537847735378072,,-13.006866133466726,,,,,,,,,10.382180604219437,0.0,0.00815,0.24595,11.166516478646638,10.418482548760023,9.561050205528378
93.75,0.12109374999999814,93.94653662060868,10,2,-9.77251867576564,3.78865734000206,0.1511,0.9611,1.0,-9.386574651673705,4.510337256498514,-9.789055186824058,3.8101646870142267,-10.178232391709942,3.045023985699016,,,,,,,,,,,,,,
93.75,0.12109374999999814,93.94653662060868,20,2,-9.77251867576564,,,,,-9.386574651673705,,-9.789055186824058,,-10.178232391709942,,6.996834345459938,0.0031,0.5555,0.99365,7.770113940931182,7.031239295191727,6.188664995607923,,,,,,,
93.75,0.12109374999999814,93.94653662060868,30,2,-9.77251867576564,,,,,-9.386574651673705,,-9.789055186824058,,-10.178232391709942,,,,,,,,,10.30664063539505,0.0002,0.1667,0.85185,11.085638315290051,10.342598811408754,9.491195610305127
94.25,0.10986328124999817,94.50690869683012,10,1,-6.8965720008233165,3.644500937998295,0.8993,1.0,1.0,-6.5436606711899925,4.347737799094119,-6.914843648911651,3.66547080801144,-7.261072165127827,2.9198595089714927,,,,,,,,,,,,,,
94.25,0.10986328124999817,94.50690869683012,20,1,-6.8965720008233165,,,,,-6.5436606711899925,,-6.914843648911651,,-7.261072165127827,,6.839656696844101,0.28195,0.99935,1.0,7.599103847090613,6.874330202404725,6.045059377978258,,,,,,,
94.25,0.10986328124999817,94.50690869683012,30,1,-6.8965720008233165,,,,,-6.5436606711899925,,-6.914843648911651,,-7.261072165127827,,,,,,,,,10.147928496050834,0.0265,0.9113,1.0,10.913704208792794,10.18430391885452,9.345295877230553
95.0,0.09863281249999818,95.0696514043168,10,4,-5.156521775180664,3.4872665426433085,0.99915,1.0,1.0,-4.764268453712707,4.1666636461616635,-5.189609509117199,3.5090838597789094,-5.5517498173204105,2.785631224978156,,,,,,,,,,,,,,
95.0,0.09863281249999818,95.0696514043168,20,4,-5.156521775180664,,,,,-4.764268453712707,,-5.189609509117199,,-5.5517498173204105,,6.666037324762344,0.8054,1.0,1.0,7.406979855836045,6.702480645972093,5.888184854320261,,,,,,,
95.0,0.09863281249999818,95.0696514043168,30,4,-5.156521775180664,,,,,-4.764268453712707,,-5.189609509117199,,-5.5517498173204105,,,,,,,,,9.972280121684074,0.35695,0.9999,1.0,10.720319139077839,10.010617945533207,9.185431265530466
