l,r,b,omega_nmse
10,12,2,0.07962572738067247
10,13,8,0.00011601356389001011
10,13,4,0.022470517668640243
10,13,2,0.11862319233031011
10,14,8,0.00014323557275347412
10,14,4,0.026295521062938497
10,14,2,0.14950028430749662
10,15,8,0.00016729277041740715
10,15,4,0.030793605732405558
10,15,2,0.18205429881294258
10,16,8,0.00018390545034781099
10,16,4,0.035614182655280456
10,16,2,0.21925727423136124
11,12,8,3.876167060807347e-05
11,12,4,0.009173118986282498
11,12,2,0.038462238297378645
11,13,8,8.053311514668167e-05
11,13,4,0.014764001204399392
11,13,2,0.08003433411051519
11,14,8,0.00010758254574611783
11,14,4,0.01845552720478736
11,14,2,0.11086390426424332
11,15,8,0.00013120701112784446
11,15,4,0.023349161180993543
11,15,2,0.14449349344340154
11,16,8,0.00014783551376312972
11,16,4,0.02862098450833
11,16,2,0.18248468261961825
11,17,8,0.00018207292840816082
11,17,4,0.03380231152079068
11,17,2,0.22726730105844326
12,13,8,4.226948819123209e-05
12,13,4,0.006461902902275324
12,13,2,0.046195773563114925
12,14,8,6.953493268229067e-05
12,14,4,0.010447920882469043
12,14,2,0.07788337017879822
12,15,8,9.353645844385029e-05
12,15,4,0.015494687159499154
12,15,2,0.11192117052027024
12,16,8,0.00011070315255783498
12,16,4,0.02066807805993594
12,16,2,0.1505814153358806
12,17,8,0.00014591627195477487
12,17,4,0.02544765906459652
12,17,2,0.19599594319392927
12,18,8,0.0001786646794527769
12,18,4,0.030279126836964862
12,18,2,0.21896307546948082
13,14,8,3.1350237131118774e-05
13,14,4,0.004507834517071024
13,14,2,0.035722953013191
13,15,8,5.5939686810597775e-05
13,15,4,0.009948332383902744
13,15,2,0.07235988176860847
13,16,8,7.351666307076812e-05
13,16,4,0.015151011194614693
13,16,2,0.11135914019742049
13,17,8,0.00010738803180865943
13,17,4,0.020166822693357244
13,17,2,0.15711082902555354
13,18,8,0.00013939901436679065
13,18,4,0.025108870264096184
13,18,2,0.18038355327998287
13,19,8,0.00016614778395742177
13,19,4,0.030841405280167235
13,19,2,0.204991167555796
14,15,8,2.4705449631437658e-05
14,15,4,0.005984038094291463
14,15,2,0.04103154087071307
14,16,8,4.296778710559011e-05
14,16,4,0.011424794023763389
14,16,2,0.08082575521678664
14,17,8,7.768857409246266e-05
14,17,4,0.01655309295183979
14,17,2,0.12647777495016344
14,18,8,0.0001101193057373166
14,18,4,0.02174823612733744
14,18,2,0.15015903879669495
14,19,8,0.00013753959545865656
14,19,4,0.027528386154724284
14,19,2,0.17450979310316034
14,20,8,0.00023773371730931102
14,20,4,0.07906177189932205
14,20,2,2.0492863388833125
15,16,8,1.8311499757692218e-05
15,16,4,0.006252612543199212
15,16,2,0.043718284947657955
15,17,8,5.309616131708026e-05
15,17,4,0.01157365228193812
15,17,2,0.09034625571710057
15,18,8,8.637810940854252e-05
15,18,4,0.016882090873504056
15,18,2,0.11413436099984683
15,19,8,0.00011348572913557291
15,19,4,0.022589427262404933
15,19,2,0.13885989108108915
15,20,8,0.00021661282321438192
15,20,4,0.07519370588683523
15,20,2,1.9424065380227287
15,21,8,0.00024923845641314983
15,21,4,0.08137748022363521
15,21,2,2.0105001269754488
16,17,8,3.368936916813254e-05
16,17,4,0.0056202186252456154
16,17,2,0.051633699993090705
16,18,8,6.798954708501697e-05
16,18,4,0.01092071879808791
16,18,2,0.07689194308188745
16,19,8,9.601960442960262e-05
16,19,4,0.016636470355233177
16,19,2,0.10200151290656068
16,20,8,0.00020085348514840007
16,20,4,0.06813198192999698
