l,r,b,omega_nmse
6,12,2,0.1690143374598585
7,8,8,6.012487551197409e-06
7,8,4,0.002300548568367958
7,8,2,0.03201569223618135
7,9,8,9.41880252212286e-06
7,9,4,0.003605661985045299
7,9,2,0.053949387424066665
7,10,8,1.224634414538741e-05
7,10,4,0.004841367799369618
7,10,2,0.08136825508540496
7,11,8,1.7522168345749378e-05
7,11,4,0.006366524103004485
7,11,2,0.10579020329704508
7,12,8,2.676947503350675e-05
7,12,4,0.00859903095252812
7,12,2,0.14230371859846636
7,13,8,3.0121098132804036e-05
7,13,4,0.009980058619286865
7,13,2,0.16555635146973655
8,9,8,3.453977219760418e-06
8,9,4,0.0013480946971103549
8,9,2,0.023803703541308643
8,10,8,6.233389303088188e-06
8,10,4,0.002619116459460929
8,10,2,0.052084993781428786
8,11,8,1.1468295427039266e-05
8,11,4,0.00418816205416806
8,11,2,0.07718410893278196
8,12,8,2.06694059073925e-05
8,12,4,0.006438457656791434
8,12,2,0.11460249195666984
8,13,8,2.4036240810528397e-05
8,13,4,0.007873212364688516
8,13,2,0.13731926064072178
8,14,8,2.8198069985955955e-05
8,14,4,0.008985357902944089
8,14,2,0.1673562734118663
9,10,8,2.7924451511353255e-06
9,10,4,0.0013179940834175796
9,10,2,0.03002855505142361
9,11,8,7.996654231101274e-06
9,11,4,0.0029124354821629824
9,11,2,0.05564125070562586
9,12,8,1.7230514576658606e-05
9,12,4,0.005168360352609307
9,12,2,0.09369167509255931
9,13,8,2.069527325220406e-05
9,13,4,0.006635213709576055
9,13,2,0.11657104643052443
9,14,8,2.4827029928565026e-05
9,14,4,0.007744514811737463
9,14,2,0.14603607056466864
9,15,8,2.9938409058377147e-05
9,15,4,0.009012904784502462
9,15,2,0.1696078705805354
10,11,8,5.167418392375112e-06
10,11,4,0.0016473037234507502
10,11,2,0.027176934647001327
10,12,8,1.4486704580485821e-05
10,12,4,0.003928243020689115
10,12,2,0.06570241022566334
10,13,8,1.794767566025257e-05
10,13,4,0.005394143242901191
10,13,2,0.08860661205584183
10,14,8,2.204724196344614e-05
10,14,4,0.006514018743019551
10,14,2,0.11755896461708472
10,15,8,2.7103658765554427e-05
10,15,4,0.007800181331532076
10,15,2,0.14093429841687902
10,16,8,3.3993847761303186e-05
10,16,4,0.009124243070743977
10,16,2,0.16682228056220338
11,12,8,9.4042775221169e-06
11,12,4,0.002371111168479547
11,12,2,0.04106717557031661
11,13,8,1.2884947657585144e-05
11,13,4,0.003882697429554537
11,13,2,0.06424472708804532
11,14,8,1.704085017554462e-05
11,14,4,0.005031008570501581
11,14,2,0.09325483305258676
11,15,8,2.2061947407200933e-05
11,15,4,0.0063450066243764015
11,15,2,0.11657461357405409
11,16,8,2.8954081097617744e-05
11,16,4,0.007679116620775312
11,16,2,0.1422167753386311
11,17,8,3.480802373960614e-05
11,17,4,0.009237012940831483
11,17,2,0.16947605281649158
12,13,8,3.4984509460628035e-06
12,13,4,0.0015718796530738474
12,13,2,0.025236992684565484
12,14,8,7.64433816075325e-06
12,14,4,0.0027504717163741588
12,14,2,0.05337034922754392
12,15,8,1.2698236014693975e-05
12,15,4,0.00412778899022378
12,15,2,0.07704332855297252
12,16,8,1.9638773519545793e-05
12,16,4,0.005480813111551106
12,16,2,0.10275868151104078
12,17,8,2.5363862002268434e-05
12,17,4,0.0070716905005741865
12,17,2,0.12903451695768162
12,18,8,2.9762478126212956e-05
12,18,4,0.008526801528036594
12,18,2,0.15365502389287575
13,14,8,4.146433155983686e-06
13,14,4,0.0012299147245939822
13,14,2,0.029690727612283082
13,15,8,9.170192060992122e-06
13,15,4,0.002620650937920436
13,15,2,0.05389539397163317
13,16,8,1.60895386710763e-05
13,16,4,0.00399027008805424
13,16,2,0.08025648549711331
13,17,8,2.186617124825716e-05
13,17,4,0.005601677291095257
13,17,2,0.10633683895310388
13,18,8,2.6211112318560482e-05
13,18,4,0.007061179434135556
13,18,2,0.13116116237966344
13,19,8,3.101144409738481e-05
13,19,4,0.008234223084244877
