position,csinet_w8,csinet_w4,csinet_w2
6.200000000000000000e+01,6.498148286482319236e-05,1.127262366935610771e-03,4.139876458793878555e-03
6.300000000000000000e+01,4.694596282206475735e-05,7.400368922390043736e-04,3.176257712766528130e-03
6.400000000000000000e+01,1.755109224177431315e-05,3.690728044603019953e-04,1.097378786653280258e-03
6.500000000000000000e+01,2.615119592519477010e-05,4.983093240298330784e-04,9.882090380415320396e-04
6.600000000000000000e+01,3.237661076127551496e-05,5.821873201057314873e-04,1.416323590092360973e-03
6.700000000000000000e+01,3.766439840546809137e-05,6.707305437885224819e-04,1.677360269241034985e-03
6.800000000000000000e+01,4.454949157661758363e-05,7.920603384263813496e-04,2.135674236342310905e-03
6.900000000000000000e+01,5.194843470235355198e-05,1.008148887194693089e-03,2.626654226332902908e-03
7.000000000000000000e+01,5.933249485678970814e-05,1.116785220801830292e-03,3.230272093787789345e-03
7.100000000000000000e+01,7.431263657053932548e-05,1.423546811565756798e-03,3.868779400363564491e-03
7.200000000000000000e+01,1.018954426399432123e-04,1.889291335828602314e-03,5.771504715085029602e-03
7.300000000000000000e+01,1.351225364487618208e-04,2.402196172624826431e-03,7.923551835119724274e-03
7.400000000000000000e+01,1.846353698056191206e-04,3.140573855489492416e-03,1.149917207658290863e-02
7.500000000000000000e+01,2.312146243639290333e-04,4.006118047982454300e-03,1.504132524132728577e-02
7.600000000000000000e+01,2.673949638847261667e-04,4.413273651152849197e-03,1.823633164167404175e-02
7.700000000000000000e+01,3.055908891838043928e-04,5.087723955512046814e-03,2.113744430243968964e-02
7.800000000000000000e+01,3.206151304766535759e-04,5.224278662353754044e-03,2.280789054930210114e-02
7.900000000000000000e+01,3.166294191032648087e-04,5.046709906309843063e-03,2.290222607553005219e-02
8.000000000000000000e+01,2.779845381155610085e-04,4.317865706980228424e-03,1.799703016877174377e-02
8.100000000000000000e+01,2.142448356607928872e-04,3.582244738936424255e-03,1.386557705700397491e-02
8.200000000000000000e+01,1.790917885955423117e-04,2.855210565030574799e-03,1.125639490783214569e-02
8.300000000000000000e+01,1.471282012062147260e-04,2.258011372759938240e-03,8.231105282902717590e-03
8.400000000000000000e+01,1.138540028478018939e-04,1.905581448227167130e-03,7.206616923213005066e-03
8.500000000000000000e+01,9.361728734802454710e-05,1.578865689225494862e-03,5.646646022796630859e-03
8.600000000000000000e+01,7.854701107135042548e-05,1.289975945837795734e-03,4.797891713678836823e-03
8.700000000000000000e+01,7.079170609358698130e-05,1.178892212919890881e-03,4.242687020450830460e-03
8.800000000000000000e+01,6.129872053861618042e-05,1.046480960212647915e-03,3.420347813516855240e-03
8.900000000000000000e+01,5.707144737243652344e-05,9.557374287396669388e-04,3.317930037155747414e-03
9.000000000000000000e+01,5.173115278012119234e-05,8.955979719758033752e-04,3.021498210728168488e-03
9.100000000000000000e+01,5.246521322987973690e-05,8.666164358146488667e-04,3.065457800403237343e-03
9.200000000000000000e+01,5.069579492555931211e-05,8.671770337969064713e-04,2.833908423781394958e-03
9.300000000000000000e+01,4.913687371299602091e-05,7.953164167702198029e-04,2.719966694712638855e-03
9.400000000000000000e+01,4.586621435009874403e-05,7.720940629951655865e-04,2.658401383087038994e-03
9.500000000000000000e+01,3.279605880379676819e-05,4.942496307194232941e-04,2.095127711072564125e-03
9.600000000000000000e+01,1.644139956624712795e-05,3.248100983910262585e-04,1.023621298372745514e-03
9.700000000000000000e+01,2.322685213584918529e-05,4.233593936078250408e-04,9.214714518748223782e-04
9.800000000000000000e+01,2.854418380593415350e-05,5.135355750098824501e-04,1.207625144161283970e-03
9.900000000000000000e+01,3.436425322433933616e-05,5.834000185132026672e-04,1.504207379184663296e-03
1.000000000000000000e+02,3.992315032519400120e-05,7.123991381376981735e-04,1.918322173878550529e-03
1.010000000000000000e+02,4.789580998476594687e-05,8.457200601696968079e-04,2.332118107005953789e-03
1.020000000000000000e+02,5.520554987015202641e-05,9.837909601628780365e-04,2.444259589537978172e-03
