Target_Saving,Budget,Avg_Saving,SNR_Context,Num_Policies,NMSE_dB,Rate_10,Outage_10dB_95,Outage_10dB_98,Outage_10dB_99,NMSE_dB_Low,Rate_10_Low,NMSE_dB_Mid,Rate_10_Mid,NMSE_dB_High,Rate_10_High,Rate_20,Outage_20dB_95,Outage_20dB_98,Outage_20dB_99,Rate_20_Low,Rate_20_Mid,Rate_20_High,Rate_30,Outage_30dB_95,Outage_30dB_98,Outage_30dB_99,Rate_30_Low,Rate_30_Mid,Rate_30_High
95.5,0.0874023437499982,95.63013636774136,20,5,-3.6320627139022923,,,,,-3.147149585948816,,-3.674676439661404,,-4.1305000232593665,,6.466224740946293,0.99375,1.0,1.0,7.190845357349123,6.503313533117046,5.7040581238441534,,,,,,,
95.5,0.0874023437499982,95.63017399680905,30,3,-3.614319550403295,,,,,-3.1032690028254706,,-3.6685381501886196,,-4.132821236683322,,,,,,,,,9.76988601384163,0.784,1.0,1.0,10.501816349395678,9.809741213426092,8.997637222079383
96.0,0.07617187499999822,96.19355639844667,10,7,-2.542609315053344,3.0982574146330357,1.0,1.0,1.0,-2.035447354392801,3.7269491456766364,-2.5888973109624103,3.117491994278833,-3.065021912754131,2.4499421925926836,,,,,,,,,,,,,,
96.0,0.07617187499999822,96.19366928564978,20,5,-2.5222090751954065,,,,,-1.997633030314726,,-2.581189227763404,,-3.0526088617829683,,6.224908853101731,1.0,1.0,1.0,6.935464939530481,6.261601735355615,5.477211355626369,,,,,,,
96.0,0.07617187499999822,96.19370691471748,30,4,-2.503747115111741,,,,,-1.960735337253534,,-2.5698464701874735,,-3.0498103489666772,,,,,,,,,9.525304485988617,0.9809,1.0,1.0,10.24317828852328,9.566953191445412,8.765326082134019
96.5,0.05371093749999827,96.57801258316024,10,1,-1.840040017355823,2.8300590104162695,1.0,1.0,1.0,-1.4707394746542415,3.4363129727841852,-1.8749210617860892,2.8483192997380655,-2.205957396586233,2.2051699002321454,,,,,,,,,,,,,,
96.5,0.05371093749999827,96.57801258316024,20,1,-1.840040017355823,,,,,-1.4707394746542415,,-1.8749210617860892,,-2.205957396586233,,5.904147596651316,1.0,1.0,1.0,6.607183898289045,5.943377062204575,5.161436291784942,,,,,,,
96.5,0.05371093749999827,96.57801258316024,30,1,-1.840040017355823,,,,,-1.4707394746542415,,-1.8749210617860892,,-2.205957396586233,,,,,,,,,9.195130436348915,1.0,1.0,1.0,9.911641638366206,9.237886265143707,8.435407663021339
97.0,0.03124999999999832,96.38535175652488,10,2,-2.0419041021617557,2.905831118389964,1.0,1.0,1.0,-1.641865479222385,3.5202308775746474,-2.0812384100693593,2.9242312528805314,-2.4396909496381634,2.272651392845761,,,,,,,,,,,,,,
97.0,0.03124999999999832,96.38535175652488,20,3,-2.0330277545565716,,,,,-1.622274723367925,,-2.0743517010129784,,-2.44156500712793,,5.989919565689564,1.0,1.0,1.0,6.6890227833263305,6.028433479766468,5.251859686597913,,,,,,,
97.0,0.03124999999999832,96.38535175652488,30,2,-2.0412734659191805,,,,,-1.6409652845071732,,-2.082653315247438,,-2.4371625039876315,,,,,,,,,9.283384741449357,1.0,1.0,1.0,9.997970483084245,9.32581293969077,8.525916411453078
